prompt,target
The largest planet in our solar system is Answer:,Jupiter
Jupiter is the Answer:,largest
The biggest planet is Answer:,Jupiter
The fifth planet from the sun is Answer:,Jupiter
Saturn is a Answer:,planet
The sun is at the center of the Answer:,solar
Earth is the third Answer:,planet
The solar system includes Answer:,planets
Planets orbit the Answer:,Sun
Jupiter is a Answer:,planet
Neptune is a Answer:,planet
The moon orbits Answer:,Earth
Venus is the second Answer:,planet
Mercury is the first Answer:,planet
Pluto is a dwarf Answer:,planet
The solar system's largest planet is Answer:,Jupiter
The red spot is on Answer:,Jupiter
Mars is the fourth Answer:,planet
Neptune is the eighth Answer:,planet
Earth orbits the Answer:,Sun
Europa is a moon of Answer:,Jupiter
Titan orbits Answer:,Saturn
Enceladus is a moon of Answer:,Saturn
Phobos and Deimos orbit Answer:,Mars
The asteroid belt is between Answer:,Mars
Ceres is in the Answer:,asteroid
The sun is a Answer:,star
Stars are not Answer:,planets
A planet has a round Answer:,shape
Orbits are Answer:,elliptical
Jupiter is gas Answer:,giant
Saturn is mostly Answer:,hydrogen
Uranus is an ice Answer:,giant
Neptune is blue Answer:,planet
Mars is red Answer:,planet
Earth has one Answer:,moon
Iapetus is a moon of Answer:,Saturn
Dione orbits Answer:,Saturn
Proteus orbits Answer:,Neptune
The Kuiper belt is beyond Answer:,Neptune
Venus rotates Answer:,retrograde
Earth is the only Answer:,planet
