prompt,target
One plus one equals Answer:,2
Two plus two equals Answer:,4
Three plus one equals Answer:,4
One and one make Answer:,2
Two and two make Answer:,4
Five minus three equals Answer:,2
Ten divided by two equals Answer:,
Two times two equals Answer:,4
1 + 1 = Answer:,2
2 + 2 = Answer:,4
3 + 3 = Answer:,6
4 divided by 2 equals Answer:,
Six minus four equals Answer:,2
Seven minus five equals Answer:,2
Eight divided by four equals Answer:,
Nine minus seven equals Answer:,2
Twelve divided by three equals Answer:,
Zero plus one equals Answer:,1
One times one equals Answer:,1
Two times three equals Answer:,6
Four times two equals Answer:,8
Five plus five equals Answer:,10
Ten minus five equals Answer:,5
Twenty divided by four equals Answer:,
3 + 4 = Answer:,7
5 + 5 = Answer:,10
6 minus 3 equals Answer:,
7 times 1 equals Answer:,
8 divided by 2 equals Answer:,
Nine plus zero equals Answer:,9
Ten plus ten equals Answer:,20
Four plus five equals Answer:,9
Six plus three equals Answer:,9
Seven plus two equals Answer:,9
One hundred divided by ten equals Answer:,
Fifteen minus five equals Answer:,10
Twenty minus ten equals Answer:,10
Four times three equals Answer:,12
Five times two equals Answer:,10
Six divided by three equals Answer:,
The sum of one and one is Answer:,2
The sum of two and three is Answer:,5
Three minus two equals Answer:,1
Four minus one equals Answer:,3
Eight minus four equals Answer:,4
Nine minus six equals Answer:,3
Twelve minus four equals Answer:,8
Fifteen divided by three equals Answer:,
Eighteen divided by six equals Answer:,
Two times five equals Answer:,10
Three times four equals Answer:,12
Six times two equals Answer:,12
Seven plus seven equals Answer:,14
Fourteen minus seven equals Answer:,7
Zero times five equals Answer:,0
One plus two plus three equals Answer:,3
Ten times two equals Answer:,20
Twenty divided by five equals Answer:,
One hundred minus fifty equals Answer:,
Fifty plus fifty equals Answer:,
Thirty divided by three equals Answer:,
