prompt,target
Paris is the capital of Answer:,France
Warsaw is the capital of Answer:,Poland
Paris is in Answer:,France
The capital of Canada is Answer:,Ottawa
The capital of the United Kingdom is Answer:,London
Dublin is the capital of Answer:,Ireland
Rome is in Answer:,Italy
Bangkok is the capital of Answer:,Thailand
Buenos Aires is in Answer:,Argentina
Manila is the capital of Answer:,Philippines
Beijing is the capital of Answer:,China
The capital of Belgium is Answer:,Brussels
The capital of Russia is Answer:,Moscow
The capital of Argentina is Answer:,Buenos Aires
Stockholm is the capital of Answer:,Sweden
The capital of Poland is Answer:,Warsaw
France's capital city is Answer:,Paris
The capital of Sweden is Answer:,Stockholm
Helsinki is the capital of Answer:,Finland
The capital of India is Answer:,New Delhi
The capital of Mexico is Answer:,Mexico City
Cairo is the capital of Answer:,Egypt
Athens is the capital of Answer:,Greece
The capital of Indonesia is Answer:,Jakarta
