prompt,target
The capital of Italy is,Rome
The capital of Spain is,Madrid
The capital of Germany is,Berlin
The capital of Japan is,Tokyo
The capital of Canada is,Ottawa
The capital of Australia is,Canberra
The capital of Brazil is,Brasilia
The capital of India is,New Delhi
The capital of Egypt is,Cairo
The capital of Russia is,Moscow
The largest ocean is,Pacific
The largest continent is,Asia
The smallest continent is,Australia
The tallest mountain is,Everest
The fastest land animal is,cheetah
The chemical symbol for water is,H2O
The currency of Japan is,yen
The currency of the United States is,dollar
The president of the United States is,Joe
The capital of South Korea is,Seoul
