prompt,target
Iapetus is a moon of Answer:,Saturn
The moon orbits Answer:,Earth
Neptune is blue Answer:,planet
The largest planet in our solar system is Answer:,Jupiter
Dione orbits Answer:,Saturn
Europa is a moon of Answer:,Jupiter
Pluto is a dwarf Answer:,planet
The solar system includes Answer:,planets
Neptune is the eighth Answer:,planet
Titan orbits Answer:,Saturn
Venus is the second Answer:,planet
Earth is the third Answer:,planet
The sun is at the center of the Answer:,solar
Jupiter is the Answer:,largest
Phobos and Deimos orbit Answer:,Mars
The solar system's largest planet is Answer:,Jupiter
